CMPL123__AuditTrail_External_Id__c,CMPL123__Child_Relationships_Object__c,CMPL123__Fields__c,CMPL123__Is_Active__c,CMPL123__Parent_Relationship_Object__c,CMPL123__Report_Title_Predefined_Field__c,CMPL123__RFC_Comment_Fields__c,CMPL123__RFC_Fields__c,Id,Name
a075r000006tDY0AAM,"CMPL123CME__Complaint__c-OLY_Assigned_To_Group__c,ContentDocumentLink-LinkedEntityId,CMPL123CME__Inquiry__c-OLY_Assignment_Group__c,CMPL123QMS__Investigation__c-OLY_Assigned_to_Group__c",Name,true,Owner,,,,a077E00000QHAOzQAP,OLY_Assignment_Group__c
a075r000006sGBnAAM,ContentDocumentLink-LinkedEntityId,"Name,OLY_Acknowledgement_Received__c,OLY_Adverse_Event_Country__c,OLY_Another_Follow_Up_Required__c,OLY_CA_Reference_Number__c,OLY_Comments__c,OLY_Country_AE_required__c,OLY_Final_Report_Due_Date__c,OLY_Final_Report_Required__c,OLY_Final_Report_Sent_Date__c,OLY_Follow_Up_Due_Date__c,OLY_Follow_Up_Report_Sent__c,OLY_Follow_Up_Required__c,OLY_Follow_Up_Sent_Date__c,OLY_Initial_Report_Sent_Date__c,OLY_Initial_Report_Sent__c,OLY_Quantity_of_Follow_Ups__c,OLY_Reportability_Rationale__c",true,"OLY_Assessment__r,OLY_Assigned_To__r,OLY_Assigned_To_Reviewer__r,OLY_Complaint__r,Owner,RecordType",,,,a077E00000QHAP0QAP,OLY_Regulatory_Report__c
a075r000006gDMbAAM,ContentDocumentLink-LinkedEntityId,"CMPL123QMS__Primary_Contact__c,CMPL123QMS__User_Role__c",true,"CMPL123QMS__Supplier_Site__r,CMPL123QMS__User__r,Owner",,,,a077E00000QHAP1QAP,CMPL123QMS__Supplier_Site_Related_Material_User__c
a075r000006gDMcAAM,"CMPL123__Family_Tree_Item__c-CMPL123__Family_Tree_Configuration__c,ContentDocumentLink-LinkedEntityId","CMPL123__Custom_Label__c,CMPL123__Family_Tree_Config_External_Id__c,CMPL123__Is_Configuration_Active__c,Name",true,"CMPL123__Relationship_Configuration__r,Owner",,,,a077E00000QHAP2QAP,CMPL123__Family_Tree_Configuration__c
a075r000006gDMdAAM,"CMPL123__Family_Tree_Item__c-CMPL123__Parent_Node__c,CMPL123__Family_Tree_Item__c-CMPL123__Previous_Node__c,ContentDocumentLink-LinkedEntityId","CMPL123__Displayed_Fields__c,CMPL123__FT_Item_External_Id__c,CMPL123__Is_Show_Records__c",true,"CMPL123__Family_Tree_Configuration__r,CMPL123__Parent_Node__r,CMPL123__Previous_Node__r,CMPL123__Relationship_Configuration_Item__r,Owner",,,,a077E00000QHAP3QAP,CMPL123__Family_Tree_Item__c
a075r000006gDMeAAM,"CMPL123__Family_Tree_Item__c-CMPL123__Relationship_Configuration_Item__c,CMPL123__Relationship_Configuration_Item__c-CMPL123__Parent_Node__c,CMPL123__Relationship_Configuration_Item__c-CMPL123__Previous_Node__c,ContentDocumentLink-LinkedEntityId","CMPL123__Child_Relationship_Field_API_Name__c,CMPL123__Junction_Object_API_Name__c,CMPL123__Link_Type__c,CMPL123__Object_API_Name__c,CMPL123__Parent_Relationship_Field_API_Name__c,CMPL123__RC_Item_External_Id__c,CMPL123__Related_Object__c,CMPL123__Relationship_Name__c",true,"CMPL123__Parent_Node__r,CMPL123__Previous_Node__r,CMPL123__Relationship_Configuration__r,Owner",,,,a077E00000QHAP4QAP,CMPL123__Relationship_Configuration_Item__c
a075r000006gDMfAAM,"CMPL123__Family_Tree_Configuration__c-CMPL123__Relationship_Configuration__c,CMPL123__Relationship_Configuration_Item__c-CMPL123__Relationship_Configuration__c,ContentDocumentLink-LinkedEntityId","CMPL123__Is_Configuration_Active__c,CMPL123__Relationship_Configuration_External_Id__c,Name",true,Owner,,,,a077E00000QHAP5QAP,CMPL123__Relationship_Configuration__c
a075r000006gDMgAAM,ContentDocumentLink-LinkedEntityId,"CMPL123CME__Date_Closed__c,CMPL123CME__Description__c,CMPL123CME__Mode_Of_Communication__c,CMPL123CME__Other_Mode_Of_Communication__c,CMPL123CME__Status__c,Name,OLY_Attempt_Number__c,OLY_Canceled_By__c,OLY_Canceled_Date__c,OLY_Closed_By__c,OLY_Closed_Date__c,OLY_Customer_Response__c,OLY_Due_Date__c,OLY_Mode_of_Communication_2__c,OLY_Mode_of_Communication_3__c,OLY_New_Information_Aware_Date__c,OLY_Next_Attempt_Due_Date__c,OLY_Outcome_of_Communication__c,OLY_Regulatory_Action_Required_By__c,OLY_Regulatory_Action_Required_Date__c,OLY_Regulatory_Review_Action__c,OLY_Regulatory_Review_Required_By__c,OLY_Regulatory_Review_Required_Date__c,OLY_Response_Date__c,OLY_Response_Received_By__c,OLY_Response_Received_Date__c,OLY_Submitted_By__c,OLY_Submitted_Date__c",true,"OLY_Assigned_To__r,CMPL123CME__Complaint__r,OLY_Inquiry__r,Owner",,,,a077E00000QHAP6QAP,CMPL123CME__Due_Diligence__c
a075r000006gDMhAAM,ContentDocumentLink-LinkedEntityId,,true,"CMPL123CME__Primary_Complaint__r,CMPL123CME__Secondary_Complaint__r,Owner",,,,a077E00000QHAP7QAP,CMPL123CME__Similar_Complaints__c
a075r000006gDMiAAM,ContentDocumentLink-LinkedEntityId,"CMPL123__Child_Record_Existence_External_Id__c,CMPL123__Child_Relationship__c,CMPL123__Description__c",true,CMPL123__Parent_Workflow_Step__r,,,,a077E00000QHAP8QAP,CMPL123__Child_Record_Existence_Config__c
