CMPL123__Action__c,CMPL123__Are_Child_Files_Locked__c,CMPL123__Are_Child_Records_Locked__c,CMPL123__End_Status__c,CMPL123__Is_Record_Lock_Required__c,CMPL123__Is_Related_Lists_Locked__c,CMPL123__Is_Start_Step__c,CMPL123__Locked_Child_Relationships__c,CMPL123__Mandate_Fields__c,CMPL123__Object_Related_List_Relationship__c,CMPL123__Optional_Parallel_Step__c,CMPL123__Order__c,CMPL123__Permission_Group__c,CMPL123__Start_Status__c,CMPL123__Start_Status_Config_Inherited__c,CMPL123__Validate_Against_Child_Record_Statuses__c,CMPL123__WF_Locked_Fields__c,CMPL123__WF_Rule__c,CMPL123__WF_Start_Status_Locked_Fields__c,CMPL123__WF_Step_External_Id__c,Errors,Id
a1D5r000000hjJ9EAI,true,false,a1J5r000001MHAHEA4,true,false,false,CMPL123CME__CVR_Complaint__r:CMPL123CME__CVR__c;CMPL123CME__Complaint_Investigations__r:CMPL123CME__Complaint_Investigation__c;CMPL123CME__Country_Wise_Timeline_Info_Complaints__r:CMPL123CME__Country_Wise_Timeline_Info__c;CMPL123CME__Due_Diligence__r:CMPL123CME__Due_Diligence__c;CMPL123CME__EMDR__r:CMPL123CME__EMDR__c;CMPL123CME__EU_MIR__r:CMPL123CME__EU_MIR__c;CMPL123CME__HHE_Complaint__r:CMPL123CME__HHE__c;CMPL123CME__Investigations__r:CMPL123CME__Investigation__c;CMPL123CME__MDR__r:CMPL123CME__MDR__c;CMPL123CME__MEDDEV__r:CMPL123CME__MEDDEV__c;CMPL123CME__Questionnaires__r:CMPL123CME__Questionnaire__c;CMPL123CME__Repairs__r:CMPL123CME__Repair__c;CMPL123CME__Primary_Similar_Complaints__r:CMPL123CME__Similar_Complaints__c;CMPL123CME__Secondary_Similar_Complaints__r:CMPL123CME__Similar_Complaints__c;CMPL123CME__TGA__r:CMPL123CME__TGA__c;CAPAs__r:CMPL123QMS__CAPA__c;Extension_Requests1__r:CMPL123QMS__Extension_Request__c;Investigations__r:CMPL123QMS__Investigation__c;Product_Returns__r:CMPL123QMS__Product_Return__c;Actions__r:CMPL123__Action__c;Complaint_Memos__r:CMPL123__Memo__c;Events:Event;As_Investigated_Codes__r:OLY_As_Investigated_Code__c;As_Reported_Codes__r:OLY_As_Reported_Code__c;Related_Codes__r:OLY_Complaint_Related_Code__c;Health_Effect_Codes__r:OLY_Health_Effect_Code__c;Tasks:Task;,,AttachedContentDocuments:AttachedContentDocument;AttachedContentNotes:AttachedContentNote;Attachments:Attachment;CMPL123CME__CVR_Complaint__r:CMPL123CME__CVR__c;CMPL123CME__Complaint_Investigations__r:CMPL123CME__Complaint_Investigation__c;Feeds:CMPL123CME__Complaint__Feed;Shares:CMPL123CME__Complaint__Share;Related_Complaints__r:CMPL123CME__Complaint__c;CMPL123CME__Country_Wise_Timeline_Info_Complaints__r:CMPL123CME__Country_Wise_Timeline_Info__c;CMPL123CME__Due_Diligence__r:CMPL123CME__Due_Diligence__c;CMPL123CME__EMDR__r:CMPL123CME__EMDR__c;CMPL123CME__EU_MIR__r:CMPL123CME__EU_MIR__c;CMPL123CME__HHE_Complaint__r:CMPL123CME__HHE__c;CMPL123CME__Inquiries__r:CMPL123CME__Inquiry__c;CMPL123CME__Investigations__r:CMPL123CME__Investigation__c;CMPL123CME__MDR__r:CMPL123CME__MDR__c;CMPL123CME__MEDDEV__r:CMPL123CME__MEDDEV__c;CMPL123CME__Questionnaires__r:CMPL123CME__Questionnaire__c;CMPL123CME__Repairs__r:CMPL123CME__Repair__c;CMPL123CME__TGA__r:CMPL123CME__TGA__c;CAPAs__r:CMPL123QMS__CAPA__c;Extension_Requests1__r:CMPL123QMS__Extension_Request__c;Investigations__r:CMPL123QMS__Investigation__c;Product_Returns__r:CMPL123QMS__Product_Return__c;Actions__r:CMPL123__Action__c;Complaint_Memos__r:CMPL123__Memo__c;RecordAssociatedGroups:CollaborationGroupRecord;CombinedAttachments:CombinedAttachment;ContactRequests:ContactRequest;ContentDocumentLinks:ContentDocumentLink;DuplicateRecordItems:DuplicateRecordItem;Emails:EmailMessage;Events:Event;FeedComment:FeedComment;FeedItem:FeedItem;Notes:Note;As_Investigated_Codes__r:OLY_As_Investigated_Code__c;As_Reported_Codes__r:OLY_As_Reported_Code__c;Related_Codes__r:OLY_Complaint_Related_Code__c;Health_Effect_Codes__r:OLY_Health_Effect_Code__c;OpenActivities:OpenActivity;ProcessExceptions:ProcessException;RecordActions:RecordAction;RecordActionHistories:RecordActionHistory;Tasks:Task;TopicAssignments:TopicAssignment;,false,15,Automation,a1J5r000001N9tlEAC,false,false,CMPL123CME__Product__c;CMPL123CME__Related_Inquiry__c,a1I5r000001zzoOEAQ,CMPL123CME__Related_Inquiry__c,a1L5r000001PUlyEAG,,a1L5r000001PUlyEAG
a1D5r000000hqRuEAI,true,true,a1J5r000001MHAQEA4,true,true,false,,,,false,16,Complaint - Test Admin,a1J5r000001MHAHEA4,false,true,CMPL123CME__Product__c;CMPL123CME__Related_Inquiry__c,a1I5r000001zzoOEAQ,CMPL123CME__Related_Inquiry__c,a1L5r000001PywYEAS,,a1L5r000001PywYEAS
a1D5r000000hTmfEAE,true,false,a1J5r000001MHAQEA4,true,false,false,CMPL123CME__CVR_Complaint__r:CMPL123CME__CVR__c;CMPL123CME__Complaint_Investigations__r:CMPL123CME__Complaint_Investigation__c;CMPL123CME__Country_Wise_Timeline_Info_Complaints__r:CMPL123CME__Country_Wise_Timeline_Info__c;CMPL123CME__Due_Diligence__r:CMPL123CME__Due_Diligence__c;CMPL123CME__EMDR__r:CMPL123CME__EMDR__c;CMPL123CME__EU_MIR__r:CMPL123CME__EU_MIR__c;CMPL123CME__HHE_Complaint__r:CMPL123CME__HHE__c;CMPL123CME__Investigations__r:CMPL123CME__Investigation__c;CMPL123CME__MDR__r:CMPL123CME__MDR__c;CMPL123CME__MEDDEV__r:CMPL123CME__MEDDEV__c;CMPL123CME__Questionnaires__r:CMPL123CME__Questionnaire__c;CMPL123CME__Repairs__r:CMPL123CME__Repair__c;CMPL123CME__Primary_Similar_Complaints__r:CMPL123CME__Similar_Complaints__c;CMPL123CME__Secondary_Similar_Complaints__r:CMPL123CME__Similar_Complaints__c;CMPL123CME__TGA__r:CMPL123CME__TGA__c;CAPAs__r:CMPL123QMS__CAPA__c;Extension_Requests1__r:CMPL123QMS__Extension_Request__c;Investigations__r:CMPL123QMS__Investigation__c;Product_Returns__r:CMPL123QMS__Product_Return__c;Actions__r:CMPL123__Action__c;Complaint_Memos__r:CMPL123__Memo__c;Events:Event;Related_Codes__r:OLY_Complaint_Related_Code__c;Tasks:Task;As_Investigated_Codes__r:OLY_As_Investigated_Code__c;As_Reported_Codes__r:OLY_As_Reported_Code__c;Health_Effect_Codes__r:OLY_Health_Effect_Code__c;,"OLY_Assigned_To__c,CMPL123CME__Date_of_Awareness__c,TWD_Due_Date__c,OLY_Patient_Impacted__c,OLY_Product_Return_Expected__c,CMPL123CME__Related_Inquiry__c",AttachedContentDocuments:AttachedContentDocument;AttachedContentNotes:AttachedContentNote;Attachments:Attachment;CMPL123CME__CVR_Complaint__r:CMPL123CME__CVR__c;CMPL123CME__Complaint_Investigations__r:CMPL123CME__Complaint_Investigation__c;Feeds:CMPL123CME__Complaint__Feed;Shares:CMPL123CME__Complaint__Share;Related_Complaints__r:CMPL123CME__Complaint__c;CMPL123CME__Country_Wise_Timeline_Info_Complaints__r:CMPL123CME__Country_Wise_Timeline_Info__c;CMPL123CME__Due_Diligence__r:CMPL123CME__Due_Diligence__c;CMPL123CME__EMDR__r:CMPL123CME__EMDR__c;CMPL123CME__EU_MIR__r:CMPL123CME__EU_MIR__c;CMPL123CME__HHE_Complaint__r:CMPL123CME__HHE__c;CMPL123CME__Inquiries__r:CMPL123CME__Inquiry__c;CMPL123CME__Investigations__r:CMPL123CME__Investigation__c;CMPL123CME__MDR__r:CMPL123CME__MDR__c;CMPL123CME__MEDDEV__r:CMPL123CME__MEDDEV__c;CMPL123CME__Questionnaires__r:CMPL123CME__Questionnaire__c;CMPL123CME__Repairs__r:CMPL123CME__Repair__c;CMPL123CME__TGA__r:CMPL123CME__TGA__c;CAPAs__r:CMPL123QMS__CAPA__c;Extension_Requests1__r:CMPL123QMS__Extension_Request__c;Investigations__r:CMPL123QMS__Investigation__c;Product_Returns__r:CMPL123QMS__Product_Return__c;Actions__r:CMPL123__Action__c;Complaint_Memos__r:CMPL123__Memo__c;RecordAssociatedGroups:CollaborationGroupRecord;CombinedAttachments:CombinedAttachment;ContactRequests:ContactRequest;ContentDocumentLinks:ContentDocumentLink;DuplicateRecordItems:DuplicateRecordItem;Emails:EmailMessage;Events:Event;FeedComment:FeedComment;FeedItem:FeedItem;Notes:Note;As_Investigated_Codes__r:OLY_As_Investigated_Code__c;As_Reported_Codes__r:OLY_As_Reported_Code__c;Related_Codes__r:OLY_Complaint_Related_Code__c;Health_Effect_Codes__r:OLY_Health_Effect_Code__c;OpenActivities:OpenActivity;ProcessExceptions:ProcessException;RecordActions:RecordAction;RecordActionHistories:RecordActionHistory;Tasks:Task;TopicAssignments:TopicAssignment;,false,12,Complaint Entry,a1J5r000001MHAxEAO,false,true,CMPL123CME__Product__c;CMPL123CME__Related_Inquiry__c,a1I5r000001zzoOEAQ,CMPL123CME__Related_Inquiry__c,a1L5r000000wDJUEA2,,a1L5r000000wDJUEA2
a1D5r000000hTmjEAE,false,false,a1J5r000001N9u0EAC,false,false,false,,,,false,4,Complaint Investigator,a1J5r000001N9tlEAC,false,true,CMPL123CME__Product__c;CMPL123CME__Related_Inquiry__c,a1I5r000001zzoOEAQ,CMPL123CME__Related_Inquiry__c,qpa-complaints-wfstep-012,,a1L5r000000wEE8EAM
a1D5r000000hTnHEAU,false,false,a1J5r000001MHAxEAO,false,false,false,,,,false,2,Complaint Investigator,a1J5r000001N9tlEAC,false,false,CMPL123CME__Related_Inquiry__c,a1I5r000001zzoOEAQ,CMPL123CME__Related_Inquiry__c,qpa-complaints-wfstep-013,,a1L5r000000w9bMEAQ
a1D5r000000hTneEAE,false,false,a1J5r000001N9u0EAC,false,false,false,CMPL123CME__Complaint_Investigations__r:CMPL123CME__Complaint_Investigation__c;CMPL123CME__Country_Wise_Timeline_Info_Complaints__r:CMPL123CME__Country_Wise_Timeline_Info__c;CMPL123CME__HHE_Complaint__r:CMPL123CME__HHE__c;CMPL123CME__Investigations__r:CMPL123CME__Investigation__c;CMPL123CME__MDR__r:CMPL123CME__MDR__c;CMPL123CME__MEDDEV__r:CMPL123CME__MEDDEV__c;CMPL123CME__Repairs__r:CMPL123CME__Repair__c;CMPL123CME__Primary_Similar_Complaints__r:CMPL123CME__Similar_Complaints__c;CMPL123CME__Secondary_Similar_Complaints__r:CMPL123CME__Similar_Complaints__c;CAPAs__r:CMPL123QMS__CAPA__c;Extension_Requests1__r:CMPL123QMS__Extension_Request__c;Investigations__r:CMPL123QMS__Investigation__c;Events:Event;Related_Codes__r:OLY_Complaint_Related_Code__c;Tasks:Task;,"CMPL123CME__Country_of_Occurrence__c,TWD_Phone_2__c,CMPL123CME__Date_Return_Requested__c,OLY_Device_Operator__c,CMPL123CME__Event_Description__c,OLY_Patient_Outcome__c,OLY_Procedure_Name__c,OLY_Procedure_Outcome__c,OLY_Procedure_Type__c,CMPL123CME__Product__c,OLY_Qty_Affected__c,CMPL123CME__Other_Reportable_Countries__c,TWD_Phone_1__c,OLY_Usage_of_Device__c",AttachedContentDocuments:AttachedContentDocument;AttachedContentNotes:AttachedContentNote;Attachments:Attachment;CMPL123CME__Complaint_Investigations__r:CMPL123CME__Complaint_Investigation__c;Feeds:CMPL123CME__Complaint__Feed;Shares:CMPL123CME__Complaint__Share;CMPL123CME__Country_Wise_Timeline_Info_Complaints__r:CMPL123CME__Country_Wise_Timeline_Info__c;CMPL123CME__HHE_Complaint__r:CMPL123CME__HHE__c;CMPL123CME__Inquiries__r:CMPL123CME__Inquiry__c;CMPL123CME__Investigations__r:CMPL123CME__Investigation__c;CMPL123CME__MDR__r:CMPL123CME__MDR__c;CMPL123CME__MEDDEV__r:CMPL123CME__MEDDEV__c;CMPL123CME__Repairs__r:CMPL123CME__Repair__c;CAPAs__r:CMPL123QMS__CAPA__c;Extension_Requests1__r:CMPL123QMS__Extension_Request__c;Investigations__r:CMPL123QMS__Investigation__c;RecordAssociatedGroups:CollaborationGroupRecord;CombinedAttachments:CombinedAttachment;ContactRequests:ContactRequest;DuplicateRecordItems:DuplicateRecordItem;Emails:EmailMessage;Events:Event;FeedComment:FeedComment;FeedItem:FeedItem;Notes:Note;Related_Codes__r:OLY_Complaint_Related_Code__c;OpenActivities:OpenActivity;ProcessExceptions:ProcessException;RecordActions:RecordAction;RecordActionHistories:RecordActionHistory;Tasks:Task;TopicAssignments:TopicAssignment;,false,9,QA,a1J5r000001MHAHEA4,false,false,CMPL123CME__Product__c;CMPL123CME__Related_Inquiry__c,a1I5r000001zzoOEAQ,CMPL123CME__Related_Inquiry__c,qpa-complaints-wfstep-011,,a1L5r000000w9bKEAQ
a1D5r000000hToaEAE,false,false,a1J5r000001N9tlEAC,false,false,true,,"OLY_Assigned_To__c,CMPL123CME__Country_of_Occurrence__c,OLY_Customer_Letter_Required__c,TWD_Phone_2__c,CMPL123CME__Date_Return_Requested__c,CMPL123CME__Date_of_Awareness__c,OLY_Device_Operator__c,TWD_Due_Date__c,CMPL123CME__Event_Description__c,OLY_Patient_Impacted__c,OLY_Patient_Outcome__c,OLY_Procedure_Name__c,OLY_Procedure_Outcome__c,OLY_Procedure_Type__c,CMPL123CME__Product__c,OLY_Product_Return_Expected__c,OLY_Qty_Affected__c,CMPL123CME__Related_Inquiry__c,CMPL123CME__Other_Reportable_Countries__c,TWD_Phone_1__c,OLY_Usage_of_Device__c",,false,1,Complaint Entry,a1J5r000001MHAxEAO,false,false,CMPL123CME__Related_Inquiry__c,a1I5r000001zzoOEAQ,CMPL123CME__Related_Inquiry__c,qpa-complaints-wfstep-009,,a1L5r000000w9bIEAQ
a1D5r000000hTocEAE,true,true,a1J5r000001MHB1EAO,true,true,false,,"CMPL123CME__Country_of_Occurrence__c,OLY_Customer_Letter_Attached__c,TWD_Phone_2__c,CMPL123CME__Date_Return_Requested__c,OLY_Device_Operator__c,CMPL123CME__Event_Description__c,OLY_Patient_Outcome__c,OLY_Procedure_Name__c,OLY_Procedure_Outcome__c,OLY_Procedure_Type__c,OLY_Product_Return_Expected__c,OLY_Qty_Affected__c,CMPL123CME__Other_Reportable_Countries__c,TWD_Phone_1__c,OLY_Usage_of_Device__c",,false,6.1,Complaint Review and Approval,a1J5r000001N9u0EAC,false,true,CMPL123CME__Product__c;CMPL123CME__Related_Inquiry__c,a1I5r000001zzoOEAQ,CMPL123CME__Related_Inquiry__c,a1L5r000000wVucEAE,,a1L5r000000wVucEAE
a1D5r000000hTpJEAU,false,false,a1J5r000001N9u0EAC,false,false,false,,,,false,6.2,Complaint Review and Approval,a1J5r000001MHB1EAO,false,true,CMPL123CME__Product__c;CMPL123CME__Related_Inquiry__c,a1I5r000001zzoOEAQ,CMPL123CME__Related_Inquiry__c,a1L5r000000wVumEAE,,a1L5r000000wVumEAE
a1D5r000000hTpJEAU,false,false,a1J5r000001N9tlEAC,false,false,false,,"CMPL123CME__Country_of_Occurrence__c,TWD_Phone_2__c,CMPL123CME__Date_Return_Requested__c,OLY_Device_Operator__c,CMPL123CME__Event_Description__c,OLY_Patient_Outcome__c,OLY_Procedure_Name__c,OLY_Procedure_Outcome__c,OLY_Procedure_Type__c,CMPL123CME__Product__c,OLY_Qty_Affected__c,CMPL123CME__Other_Reportable_Countries__c,TWD_Phone_1__c,OLY_Usage_of_Device__c",,false,6,Complaint Review and Approval,a1J5r000001N9u0EAC,false,false,CMPL123CME__Related_Inquiry__c,a1I5r000001zzoOEAQ,CMPL123CME__Related_Inquiry__c,qpa-complaints-wfstep-002,,a1L5r000000w9bBEAQ
